"Id","Nimi","Ainekset","Valmistusohje","Huomio","Valmistuspvt","Arvio","Ominaisuus","Doshat","Luokka","Vuodenaika","Kasvikset","Kotimaa","Pisteet","Tyyppi","Suosikki","OmaLista","Author"
"1310","Gremolata","1/2 Cup Fresh Parsley;Grated Zest From 2 Lemons;2 Cloves Garlic, Peeled;Salt & Pepper;(2 tbsp olive oil)","Mix all the gremolata ingredients together in a bowl.;;Tarjoa esim. paistetun kanan tai pihvin päällä.","","25.5.2006;5.7.2006","Hyvä","Laktoositon;Gluteiiniton;Sokeriton;Munaton;Kevyt","Lauri","Grilliruoan/lihan lisäke","Kesä","persilja","Italia","0","Lisäkeruoka","0","",""
"1311","Grillatut Munakoisoviipaleet Fetan Kera","munakoisoa viipaleina;punasipulia;fetajuustoa;oliiviviipaleita;minttua;sitruunamehua;oliiviöljyä;mustapippuria;sormisuolaa","Leikkaa munakoisot noin puolen sentin paksuisiksi viipaleiksi ja jos haluat, voit ripotella niiden pinnalle suolaa. Anna vaikuttaa tunnin verran, huuhtele ja kuivaa viipaleet huolella. Voitele ne oliiviöljyllä ja grillaa kauniin ruskeiksi. Asettele viipaleet lautasille ja murusta päälle fetaa.;Lisää punasipulirenkaita ja oliiviviipaleita. Silppua pinnalle vielä minttua, pirskota sitruunamehua ja oliiviöljyä ja lopuksi pari kierrosta mustapippuria ja sormisuolaa.","","1.7.2006","Hyvä","Laktoositon;Gluteiiniton;Munaton","","Grilliruoan/lihan lisäke;Kasvisruoka","Kesä","minttu","","0","Lisäkeruoka","0","",""
"1312","Juusto-Peruna-Salaatti","6-8 isoa perunaa;3 omenaa;200 g fetaa tai vuohenjuustoa, esim. President Sainte Maure;(saksanpähkinöitä tai pinjansiemeniä);1 nippu kevätsipulia tai pätkä purjoa;salaattia maun mukaan;;Kastike;1/2 dl oliiviöljyä;2-3 rkl punaviinietikkaa tai balsamicoa;1-2 tl sokeria;ripaus suolaa;ripaus mustapippuria","Keitä perunat, kuori ja viipaloi jäähtyneenä. Kuori omenat ja paloittele suupaloiksi. Leikkaa vuohenjuusto siivuiksi ja puolita siivut. Jos käytät pinjansiemeniä, ruskista ne nopeasti kuumalla pannulla. Silppua kevätsipuli.;Mittaa kastikeaineet pulloon tai kannelliseen kulhoon. Ravista hyvin.;Sekoita salaatti ja kaada kastike päälle. Anna maustua viileässä puolisen tuntia.",""," 1.5.2024","Ei testattu","Munaton","","Grilliruoan/lihan lisäke","Kesä","","","0","Lisäkeruoka","0","",""
"1314","Munakoisopasta","600 g munakoisoa;3 rkl öljyä ;3 valkosipulinkynttä;1 punainen chilipalko tai 1/2 tl chilijauhetta;3 tomaattia;2 rkl tuoretta basilikaa tai 2 tl kuivattua;2 rkl tomaattisosetta;1 tl suolaa;1 tl sokeria;1/2 tl mustapippuria;;Tarjoiluun juustoraastetta;;Lisäksi 400 g pastaa","Pese munakoisot ja leikkaa viipaleiksi. Laita viipaleet vieri viereen leivinpaperin päälle. Ripottele pinnalle suolaa ja anna vaikuttaa 15-30 minuuttia. Kuivaa viipaleiden pinnalle kohonnut neste ja paista viipaleet pannulla öljyssä molemmin puolin. Siirrä viipaleet odottamaan. Kuori ja hienonna valkosipulinkynnet. Pese chili, halkaise ja poista siemenet. Leikkaa chili pieniksi kuutioiksi. Pese ja kuutioi tomaatit. Kuumenna öljy pannulla ja kuullota siinä hienonnettu valkosipuli sekä chili. Lisää joukkoon tomaattisose, suola, sokeri ja mustapippuri sekä tomaattikuutiot. Kääntele ja paista hetki. Leikkaa munakoisoviipaleet neljään osaan ja lisää pannulle. Anna hautua muutaman minuutin ajan. ;;Keitä pasta pakkauksen ohjeen mukaan. Valuta pasta ja kaada se tarjoiluastiaan. Sekoita kastike pastan joukkoon ja lisää juustoraastetta pinnalle.","","","Ei testattu","Laktoositon;Maidoton","","Kasvisruoka;Pasta","Koko vuosi","basilika","","0","Pääruoka;Lisäkeruoka","0","",""
"1315","Suklaakakku","250 g tummaa suklaata (laktoositonta);175 g voita tai margariinia;1 1/2 dl sokeria;4 keltuaista;4 valkuaista;1/2 dl vehnäjauhoja;2 rkl kaakaota;1/2 rkl vaniljasokeria","Sulata suklaa ja rasva vesihauteessa. Vatkaa joukkoon sokeri. Lisää keltuaiset yksitellen hyvin vatkaten sekä jauhot, kaakao ja vaniljasokeri.;;Vaahdota valkuaiset kovaksi vaahdoksi ja lisää varovasti käännellen kakkutaikinaan.;;Kaada taikina noin 24-senttiseen, voideltuun irtopohjavuokaan. Paista 175 asteessa uunin alatasolla 25-30 minuuttia.;;Jäähdytä ja tarjoa esimerkiksi kermavaahdon kanssa.","","","Ei testattu","Laktoositon","","Kakku","Koko vuosi","","","0","Leivonnainen","0","",""
"1316","Persiljapyttis Uusista Perunoista","pikku kappa uusia perunoita;300 g pekonia;2 punasipulia;1 tl suolaa;2 tl Lämmin Sisilia -mausteseosta (Meira);1 dl hillosipuleita;1 dl persiljaa","Keitä ja lohko perunat. Kuumenna muurinpohjapannu tai paistinpannu. Saksi pekoni suikaleiksi ruskistumaan. Kuori ja lohko sipuli ja lisää pannulle pekonien kanssa. Kun sipulit ovat kuullottuneet, lisää perunat. Mausta ja jatka paistamista 10 minuutin ajan.;;Viimeistele pyttipannu hillosipuleilla ja silputulla persiljalla. Kumoa tarjoiluvadille.","","","Ei testattu","Laktoositon;Gluteiiniton;Munaton","","Grilliruoan/lihan lisäke","Kesä","persilja","","0","Lisäkeruoka","0","",""
"1317","Salviakastike Pastalle","100 g voita;1 dl oliiviöljyä;4 valkosipulinkynttä;ruukku salviaa;1 sitruunan mehu;1 1/2 tl mustapippuria;merisuolaa","Sulata voi kattilassa. Lisää oliiviöljyjä murskattu valkosipuli. Älä polta sipulia. Silppua joukkoon salviaa, pienet lehdet voit lisätä kokonaisina. Terästä kastikkeen maku sitruunamehulla ja pippurilla. Viimeistele suolalla.;;Sekoita salviakastike höyryävän pastan joukkoon.","","","Ei testattu","Laktoositon;Sokeriton;Munaton","","Kastike;Pasta","Kesä","salvia","","0","Pääruoka","0","",""
"1318","Kukka- Ja Parsakaali Keitto","400 g kukkakaalia;300 g parsakaalia;50 g purjoa;1 rkl öljyä;1 l vettä;1 rkl kasvisfondia;100 g tuorejuustoa tai 75 g sulatejuustoa;1/2 tl suolaa;1/2 tl pippuria","Pese ja paloittele kukka ja parsakaalit. Paloittele varret pienemmiksi kuin kukinnot, sillä ne kypsyvät hitaammin. Halkaise purjo ja pese huolellisesti. Suikaloi se. Kuumenna öljy ja kuullota purjo ja kaalit. Säästä osa kaalien nupuista keiton pinnalle koristeeksi. Lisää vesi ja kasvisfondi. Keitä kaalit kypsäksi. Soseuta ne sauvasekoittimella. Lisää tuore- tai sulatejuusto, suola ja pippuri. Kuumenna ja tarjoile.","","","Ei testattu","Munaton","Lauri","Keitto","Kesä","","","0","Iltapalaruoka","0","",""
"1319","Parsakaalisalaatti","500 g parsakaalia;2 rkl öljyä;1 rkl balsamiviinietikkaa;1 rkl fariinisokeria;1/4 tl suolaa;1/4 tl mustapippuria;200 g fetajuustoa kuutioina;50 g pähkinöitä","Pese parsakaali. Leikkaa nuput ja kuullota niitä öljyssä noin 5 minuuttia. Parsakaaleja ei ole tarkoitus kypsentää, vaan ne saavat jäädä koviksi. Lisää balsamiviinietikka, fariinisokeri, suola ja mustapippuri. Jäähdytä. Kokoa salaatti parsakaalista, fetakuutioista ja pähkinöistä. Tarjoile.","KOKEILE!","2.3.2008","Ok","Laktoositon;Gluteiiniton;Munaton","Lauri","Salaatti (viherlisäke)","Kesä","","","0","Lisäkeruoka","0","",""
"1320","Lihaa Korealaisittain","600 g naudan sisä- tai ulkofileetä;Marinadi:;4 rkl soijakastiketta;4 rkl valkoviiniä;2 rkl öljyä;1 rkl seesamiöljyä;3 kevätsipulia ;2 valkosipulinkynsi;2 tl sokeria;1 tl inkivääriä raastettuna;ripaus cayennenpippuria;;Paistamiseen öljyä","Mittaa kaikki marinadin aineet tehosekoittimen kulhoon ja soseuta seos tasaiseksi.;Leikkaa liha aivan ohuiksi viipaleiksi. Kerrostele kannelliseen astiaan lihaviipaleita ja marinadia niin, että kaikki lihat ovat kauttaaltaan marinadissa. Peitä astia ja nosta se jääkaappiin. Anna lihojen marinoitua vähintään neljä tuntia tai seuraavaan päivään.;Nostele lihat marinadista ja paista ne öljytilkassa, kuumalla pinnoitetulla pannulla, molemmin puolin. Tai grillaa lihat.;Maistele seurana korealaisvaikutteista perunasalaattia. ;;Saat lihan leikattua ohuiksi viipaleiksi helpommin, kun jäädytät lihapalan pakastimessa kohmeiseksi.","","6.8.2009;8.8.2009 29.3.2026","Herkku","Gluteiiniton;Laktoositon;Maidoton;Munaton","","Grillattavaa;Naudanliharuoka","Kesä","","Korea","0","Pääruoka","1","",""
